model	PA_r	PA_match	PA_mse	IA_r	IA_match	IA_mse	Overall_r	Overall_match	Overall_mse	PA_n	IA_n	rows	unparsed
GPT-5.5 1fps	0.471	0.349	1.285	0.701	0.479	0.890	0.600	0.414	1.088	800	798	1600	0
GPT-5.5 2fps	0.488	0.345	1.315	0.735	0.482	0.790	0.623	0.414	1.052	800	800	1600	0
GPT-5.5 4fps	0.486	0.336	1.353	0.733	0.480	0.784	0.617	0.408	1.068	800	800	1600	0
GPT-5.5 8fps	0.486	0.356	1.316	0.739	0.499	0.772	0.622	0.427	1.044	800	800	1600	0
GPT-5.2 1fps	0.405	0.334	1.357	0.686	0.458	0.992	0.568	0.395	1.176	800	788	1600	0
GPT-5.2 2fps	0.507	0.364	1.154	0.710	0.468	0.910	0.622	0.416	1.032	800	800	1600	0
GPT-5.2 4fps	0.526	0.372	1.100	0.709	0.469	0.905	0.630	0.421	1.002	800	800	1600	0
GPT-5.2 8fps	0.506	0.360	1.114	0.693	0.461	0.961	0.613	0.411	1.038	800	800	1600	0
Seed-2.1-Lite 2fps	0.581	0.390	0.956	0.696	0.449	1.198	0.597	0.419	1.077	800	800	1600	0
Qwen3.5-27B 2fps	0.229	0.141	4.338	0.493	0.344	2.340	0.350	0.243	3.340	800	799	1600	0
Qwen3.5-27B 4fps	0.220	0.144	4.442	0.520	0.349	2.248	0.360	0.246	3.345	800	800	1600	0
Qwen3.5-27B 8fps	0.315	0.152	4.093	0.591	0.385	1.859	0.433	0.269	2.976	800	799	1600	1
Qwen3.5-9B 2fps	0.317	0.214	3.396	0.432	0.355	2.513	0.366	0.285	2.954	798	800	1600	2
Qwen3.5-9B 4fps	0.383	0.224	2.980	0.463	0.347	2.304	0.405	0.286	2.642	800	800	1600	0
Qwen3.5-9B 8fps	0.380	0.214	3.031	0.462	0.347	2.317	0.403	0.281	2.674	800	800	1600	0
Qwen3.5-9B reasoning 2fps	0.195	0.185	3.795	0.349	0.311	3.061	0.274	0.248	3.428	791	790	1600	19
Qwen3.5-9B reasoning 4fps	0.273	0.186	3.695	0.398	0.337	2.596	0.321	0.262	3.146	800	798	1600	2
Qwen3.5-9B reasoning 8fps	0.236	0.174	3.842	0.434	0.347	2.496	0.328	0.260	3.168	798	799	1600	3
Qwen3.5-9B SFT epoch1 4fps	0.524	0.357	1.081	0.724	0.486	0.768	0.634	0.422	0.925	800	799	1600	0
Qwen3.5-9B SFT epoch2 4fps	0.569	0.399	1.052	0.739	0.477	0.754	0.658	0.438	0.903	800	800	1600	0
Qwen3.5-9B SFT epoch3 4fps	0.591	0.399	1.006	0.754	0.506	0.711	0.678	0.452	0.859	800	799	1600	0
RoboJudge-9B SFT	0.621	0.404	0.914	0.767	0.472	0.666	0.699	0.438	0.790	800	800	1600	0
RoboJudge-9B RL old	0.667	0.414	0.781	0.769	0.505	0.709	0.723	0.459	0.745	800	800	1600	0
RoboJudge-9B submission	0.647	0.435	0.795	0.775	0.510	0.686	0.720	0.472	0.741	800	800	1600	0
