model	PA_r	PA_match	PA_mse	IA_r	IA_match	IA_mse	Overall_r	Overall_match	Overall_mse	PA_n	IA_n	rows	unparsed
Gemini-3.7-Flash	0.611	0.245	1.949	0.709	0.341	0.916	0.630	0.293	1.433	800	800	802	0
Gemini-3.5-Flash	0.594	0.304	1.527	0.535	0.384	1.400	0.562	0.344	1.463	799	800	875	0
Gemini-3.1-Pro	0.451	0.296	1.505	0.584	0.321	1.395	0.529	0.309	1.450	800	800	875	0
GPT-5.5 formal	0.481	0.335	1.410	0.731	0.486	0.770	0.607	0.411	1.090	800	800	875	0
GPT-5.5 1fps	0.472	0.347	1.296	0.701	0.480	0.892	0.600	0.414	1.094	800	798	1600	0
GPT-5.5 2fps	0.483	0.344	1.339	0.735	0.484	0.792	0.620	0.414	1.066	800	800	1600	0
GPT-5.5 4fps	0.489	0.334	1.359	0.733	0.481	0.786	0.618	0.407	1.073	800	800	1600	0
GPT-5.5 8fps	0.483	0.351	1.335	0.738	0.500	0.775	0.620	0.426	1.055	800	800	1600	0
GPT-5.2 formal	0.499	0.366	1.159	0.722	0.477	0.851	0.626	0.422	1.005	800	800	875	0
GPT-5.2 1fps	0.403	0.331	1.374	0.685	0.457	0.997	0.565	0.394	1.187	800	788	1600	0
GPT-5.2 2fps	0.502	0.360	1.175	0.707	0.468	0.920	0.618	0.414	1.048	800	800	1600	0
GPT-5.2 4fps	0.525	0.372	1.111	0.706	0.469	0.915	0.627	0.421	1.013	800	800	1600	0
GPT-5.2 8fps	0.505	0.356	1.125	0.690	0.463	0.974	0.610	0.409	1.049	800	800	1600	0
Claude-Opus-4.8	0.505	0.339	1.282	0.655	0.340	1.468	0.587	0.339	1.375	800	800	875	0
Claude-Haiku-4.5	0.179	0.246	2.639	0.357	0.333	2.442	0.278	0.289	2.541	800	800	875	0
Qwen3.7-Max	0.553	0.239	2.466	0.539	0.365	2.055	0.537	0.302	2.261	800	800	874	0
Qwen3.7-Plus	0.548	0.244	2.450	0.546	0.375	2.016	0.538	0.309	2.233	800	800	874	0
Seed-2.1-Lite	0.590	0.385	0.935	0.694	0.445	1.120	0.619	0.415	1.028	800	800	875	0
Seed-2.1-Lite 2fps	0.587	0.394	0.953	0.698	0.450	1.192	0.600	0.422	1.073	800	800	1600	0
Seed-2.0-Pro	0.613	0.366	1.030	0.698	0.490	0.964	0.661	0.428	0.997	800	800	875	0
Qwen3.5-27B formal	0.301	0.169	4.048	0.579	0.384	1.836	0.419	0.276	2.942	800	800	875	0
Qwen3.5-27B video formal	0.431	0.303	1.664	0.676	0.375	1.345	0.573	0.339	1.505	798	799	802	0
Qwen3.5-27B 2fps	0.226	0.142	4.374	0.496	0.345	2.328	0.350	0.244	3.351	800	799	1600	0
Qwen3.5-27B 4fps	0.219	0.144	4.476	0.521	0.350	2.243	0.358	0.247	3.359	800	800	1600	0
Qwen3.5-27B 8fps	0.311	0.154	4.129	0.591	0.385	1.859	0.430	0.270	2.994	800	799	1600	1
Qwen3.5-9B formal	0.316	0.170	3.735	0.513	0.369	2.126	0.396	0.270	2.931	800	799	875	0
Qwen3.5-9B 2fps	0.316	0.214	3.422	0.429	0.355	2.522	0.363	0.285	2.972	798	800	1600	2
Qwen3.5-9B 4fps	0.379	0.223	3.011	0.461	0.347	2.314	0.401	0.285	2.663	800	800	1600	0
Qwen3.5-9B 8fps	0.379	0.214	3.058	0.461	0.346	2.320	0.401	0.280	2.689	800	800	1600	0
Qwen3.5-9B reasoning 2fps	0.191	0.186	3.832	0.344	0.311	3.076	0.269	0.249	3.454	791	790	1600	19
Qwen3.5-9B reasoning 4fps	0.274	0.186	3.721	0.392	0.337	2.614	0.317	0.262	3.168	800	798	1600	2
Qwen3.5-9B reasoning 8fps	0.237	0.174	3.868	0.432	0.345	2.503	0.326	0.260	3.185	798	799	1600	3
Qwen3.5-9B SFT epoch1 4fps	0.521	0.355	1.097	0.721	0.483	0.778	0.630	0.419	0.938	800	799	1600	0
Qwen3.5-9B SFT epoch2 4fps	0.567	0.395	1.066	0.739	0.479	0.756	0.657	0.437	0.911	800	800	1600	0
Qwen3.5-9B SFT epoch3 4fps	0.587	0.396	1.022	0.752	0.508	0.718	0.675	0.452	0.871	800	799	1600	0
Qwen3.5-4B	0.139	0.135	4.612	0.235	0.259	3.705	0.101	0.197	4.159	800	800	875	0
Qwen3-VL-8B	0.292	0.161	3.776	0.341	0.279	3.094	0.295	0.220	3.435	800	799	875	0
GLM-4.6V-Flash	0.253	0.163	3.845	0.440	0.289	3.058	0.356	0.226	3.451	799	799	875	0
InternVL3.5-38B	0.204	0.127	4.691	0.375	0.308	3.044	0.271	0.218	3.867	795	795	875	0
MiMo-VL-7B	0.069	0.138	4.710	0.362	0.262	3.412	0.237	0.200	4.061	799	799	874	0
Cosmos3-Nano-Reasoner	0.256	0.155	4.244	0.524	0.381	2.049	0.369	0.268	3.146	800	800	875	0
Cosmos-Reason2-32B	0.261	0.161	3.735	0.484	0.364	2.330	0.369	0.263	3.033	800	800	875	0
Cosmos-Reason2-2B	0.085	0.125	4.895	0.309	0.245	3.586	0.205	0.185	4.241	800	800	875	0
MiMo-Embodied-7B	0.209	0.119	4.736	0.447	0.300	2.807	0.304	0.209	3.776	796	789	875	0
